"","study_hours","attendance_pct","previous_gpa","study_group","major","passed"
"1",12.6612509863729,68.8015745673329,2.8540764357306,"No","STEM",1
"2",15.2044111378336,86.9803806534037,3.02166917790786,"No","Business",1
"3",20.0167596528976,59.4411491742358,2.88491648985642,"Yes","Business",1
"4",25.1261252603315,89.7724056337029,2.91361397019744,"No","STEM",1
"5",16.5320048097906,78.3167906757444,3.17469326104166,"Yes","Social Science",1
"6",17.128887388461,81.972371218726,3.32027130648576,"Yes","STEM",1
"7",18.7444633664747,93.9801430143416,3.78390823456189,"No","STEM",1
"8",17.2322573997373,91.0355786979198,3.86909011207357,"No","Business",1
"9",3.97429099904177,80.9040839131922,2.76532689923956,"Yes","Social Science",1
"10",24.9090683158901,56.0920801619068,3.13519130753237,"No","STEM",1
"11",1.87223765282523,59.9611612176523,3.8649094730174,"Yes","STEM",1
"12",11.3849105403688,75.5065518477932,2.13082688862183,"No","Business",1
"13",10.584654273569,56.2817983236164,2.54081902521449,"Yes","Arts",1
"14",12.3741481504121,94.071233374998,4,"Yes","Business",1
"15",10.262150521806,53.2008774438873,2.77455006257346,"Yes","Business",1
"16",12.4041913594254,83.4971178043634,3.1312083915377,"Yes","Social Science",1
"17",9.39644312399774,51.4035297138616,3.33745930317987,"Yes","Business",1
"18",17.1179748059103,60.3004771564156,3.6222254965896,"Yes","STEM",1
"19",17.3487937303899,71.3543126545846,2.86604369763715,"No","STEM",1
"20",13.9365002905676,52.6398064522073,2.60571170994426,"Yes","Social Science",1
"21",16.5461009894285,59.689626195468,4,"No","Arts",1
"22",12.5907725021264,88.7712210649624,3.11201496275993,"No","STEM",1
"23",22.2722101626547,84.1625194624066,3.46036864547753,"No","Social Science",1
"24",13.5150155510491,41.8825017195195,2.98048207219829,"Yes","Arts",1
"25",17.0551424459568,89.9234481994063,3.02052952990821,"No","STEM",1
"26",21.9672487083166,73.6161355720833,1.6920299895617,"No","Arts",1
"27",25.073967284407,86.4429996721447,3.04300155528662,"Yes","Business",1
"28",15.2094655592159,91.0553464246914,3.20708977999849,"No","STEM",1
"29",21.9277161580588,52.5834621675313,2.85820839217032,"No","Arts",1
"30",18.9307631909372,76.7014727788046,1.82859763981833,"No","STEM",1
"31",17.8490283702058,69.3446911452338,2.86478291405168,"No","Social Science",1
"32",15.4507421799345,93.5660055140033,2.63630654826059,"No","Social Science",1
"33",13.2392281850959,53.6346094030887,3.51195370315474,"No","STEM",1
"34",18.4138509661538,79.8331792047247,3.36733758669615,"No","STEM",1
"35",7.50795283133725,61.8149363668635,2.54863601989444,"No","STEM",1
"36",16.8895731430776,48.2773963734508,2.78981663707587,"No","Social Science",1
"37",19.8076610482565,92.0442448416725,2.93930983256252,"Yes","STEM",1
"38",20.4729423660847,58.9460949599743,4,"No","STEM",1
"39",19.835207162355,94.0461349394172,2.82857104594002,"Yes","STEM",1
"40",13.0562283508164,97.2629341110587,3.77846477356757,"No","Business",1
"41",17.9320524491697,60.8312202291563,3.07775218753191,"No","Business",1
"42",16.8383948674157,88.1811150349677,2.21182122889175,"No","STEM",1
"43",12.6477346247639,50.2343927882612,3.46037010046392,"No","Business",1
"44",14.4446227886112,87.6728057488799,1.85263895173348,"No","STEM",1
"45",20.0171315347927,95.0692591955885,2.04953524684626,"No","Social Science",1
"46",11.2007310457525,83.9597813272849,2.38190800081967,"No","STEM",1
"47",19.1363592172574,43.5026821680367,3.44474079753552,"Yes","Social Science",1
"48",7.2796466309674,85.2209400665015,3.68673856374383,"No","STEM",1
"49",16.2697147743254,69.8100385814905,3.19421790017291,"Yes","Business",1
"50",17.6649769033268,80.7404070254415,3.18119968464404,"No","Arts",1
"51",12.8266133597972,57.5004673097283,3.08943732128382,"No","STEM",1
"52",0.0271510566028947,97.9562542680651,4,"No","Social Science",1
"53",19.9166043790761,79.7101430781186,3.54256764694663,"Yes","Business",1
"54",15.1665748063379,98.7053590081632,2.91153341768645,"No","STEM",1
"55",7.73598068255891,72.5923353852704,2.66698376363575,"No","Arts",1
"56",16.1201884304297,57.1468369103968,2.38159505449643,"Yes","Social Science",1
"57",14.3406382892245,84.1170568298548,3.89303575416259,"Yes","Social Science",1
"58",12.3692468896753,44.9397992389277,2.41015426942796,"Yes","Arts",1
"59",8.2299131454383,60.0672677019611,2.8144345178618,"Yes","Arts",1
"60",12.9780257619514,53.2382481032982,3.3834823482225,"Yes","Social Science",1
"61",13.4140912354099,62.2434325981885,3.61164870818846,"No","STEM",1
"62",14.4672509701453,63.5921633522958,3.86131548445498,"Yes","Social Science",1
"63",18.4664373764981,70.4588031535968,2.57010241441054,"Yes","STEM",1
"64",5.1091811029025,63.8935941644013,2.26144748525556,"No","Social Science",1
"65",12.1655172790165,57.4381852708757,1.5,"Yes","Arts",1
"66",14.2646083146876,87.8106608847156,2.66556576116242,"Yes","STEM",1
"67",9.66020397996319,76.340695368126,3.01382915257706,"No","Social Science",1
"68",21.018956167881,97.8289593942463,2.82001899250568,"Yes","Arts",1
"69",18.6122871701924,60.0825041858479,3.02036883884743,"Yes","STEM",1
"70",17.0304682266253,41.2616693088785,3.03256042026646,"No","Arts",1
