species_id,habitat_area,population_size,genetic_diversity,human_impact,survived
1,188.9596705851145,479,0.6717604722827674,1.8795090867206454,1
2,85.0240101874806,131,0.1869413221254945,1.405703427735716,0
3,484.715473418124,67,0.2719439094886184,2.718358908314258,1
4,254.49147794931196,116,0.16582701038569214,3.0372723191976547,1
5,448.3382263169624,1003,0.16824115775525572,9.087400103453547,0
6,434.653265302768,241,0.8412119016051293,3.8774575549177825,1
7,402.18963111005723,84,0.1670472364872694,1.7673131171613932,1
8,208.18313123611733,1156,0.7380488617345691,6.551139592193067,0
9,383.6734987599775,1435,0.40268599707633257,8.783788308501244,0
10,279.2641886030324,2638,0.14909464586526155,4.554811902344227,1
11,242.37854097853415,599,0.46589694134891035,8.741496056318283,0
12,228.16287321597338,464,0.2171900486573577,4.233704984653741,0
13,353.26453170808963,707,0.11961449701339007,0.504084569402039,1
14,109.27650978672318,150,0.26114841494709257,3.923557549715042,0
15,252.8730157641694,1045,0.4822163185104728,2.1717837802134454,1
16,203.1060639563948,88,0.24356205761432648,8.25142351910472,0
17,364.4245497616939,174,0.6167093228548766,8.893797197379172,0
18,45.17744968389161,3903,0.11480554975569249,4.661551262252033,0
19,245.97189150564373,114,0.8193057766184211,6.2048535933718085,0
20,349.5060055789072,14,0.501305203139782,4.241249617189169,1
21,429.20857408153825,826,0.6275246864184738,4.669080162420869,1
22,447.05300363269635,342,0.3824119819328189,2.669056635349989,1
23,335.55651027709246,807,0.1874850841239095,2.797431049402803,0
24,468.8049455820583,21,0.7176050543785095,9.333882993087173,1
25,212.99349788948894,279,0.24948727563023568,9.474252865184098,1
26,261.7471858265344,5829,0.395302920229733,3.137919222936034,1
27,122.9665730712004,485,0.852348324842751,3.820073411334306,1
28,229.67720091808587,83,0.49034284334629774,4.584672953933477,0
29,373.54061409435235,63,0.8273598583415152,7.813986430410296,0
30,348.36110125272535,2826,0.6400076750665904,7.923596005421132,1
31,367.01514419494197,46,0.15094888731837275,9.845209680497646,0
32,117.55946688586846,75,0.38761374820023775,6.388840179424733,0
33,401.8661037683487,79,0.7275802731513977,9.088793729897588,1
34,395.52031566831283,901,0.7727643614634871,0.4523286852054298,1
35,103.230494704796,70,0.6389746176078916,9.87920950865373,0
36,86.10785248177126,62,0.21597167886793614,4.868899781722575,0
37,290.1393728479743,570,0.6530033189803363,4.417549995705485,1
38,297.4013393598143,1588,0.7399652427062393,9.704626516904682,0
39,292.48494456498884,1914,0.7418353933840991,1.1804168112576008,1
40,336.65127128572203,3989,0.14927904661744834,6.67093368479982,0
41,251.1582421278581,126,0.7156826669350267,1.4963814080692828,1
42,60.946040507405996,177,0.7322838664054871,7.0795144396834075,0
43,300.4707527437713,1264,0.8105966418981553,7.673403860535473,0
44,211.5681306561455,56,0.3765827462077141,4.253389474470168,0
45,140.69131966889836,177,0.2698389906436205,6.758941647130996,0
46,97.88831327063963,5261,0.2272217469289899,4.275258556008339,1
47,139.27699116640724,192,0.6621575945988298,7.846511686220765,0
48,413.68664670339786,61,0.28721697982400657,4.930309443734586,1
49,233.49554662359878,245,0.2219098709523678,3.3159248833544552,0
50,427.16663554590195,594,0.23593914173543454,1.7111650155857205,1
51,456.48009314155206,7408,0.23797617610543967,5.097546116448939,1
52,362.3533972548321,342,0.7176516968756914,9.688082046341151,1
53,271.3004427822307,181,0.8330089556053282,1.8902403791435063,1
54,448.20841898885556,1057,0.5625818615779281,7.878342452459037,0
55,131.46198426210321,809,0.45534194670617584,0.5657422100193799,1
56,479.1135963485576,1033,0.5168400773778558,8.993571931496263,0
57,93.15433370065875,202,0.8673627784475685,8.757760825101286,0
58,353.3647812809795,36,0.11028215289115906,7.127680219709873,1
59,88.6203240652103,1804,0.1358093861490488,1.6017938358709216,1
60,4.9015566513407975,6579,0.20156480800360443,0.9012749488465488,0
61,204.68849272280931,1321,0.3812584409490228,8.910380601882935,0
62,314.47781774797477,7256,0.2277678368613124,6.310646047350019,1
63,120.02608298277482,225,0.11232212446630002,7.21625697799027,0
64,39.93790792883374,663,0.7043620293959976,3.324503474868834,1
65,96.07609842461534,84,0.6348545143380762,4.015278690494597,0
66,69.01430886075832,30,0.7764651427045465,8.181653392966837,0
67,420.5002314050216,535,0.545901226438582,8.534862655214965,0
