record_id,month,day,year,species_id,sex,hindfoot_length,weight
29024,1,16,1999,DM,F,33,41
29025,1,16,1999,DM,F,35,52
29026,1,16,1999,DM,M,35,52
29036,1,16,1999,DM,M,36,44
29037,1,16,1999,DM,M,37,47
29041,1,16,1999,DM,F,35,41
29043,1,16,1999,DM,F,36,46
29044,1,16,1999,DM,M,36,38
29046,1,16,1999,DM,F,36,41
29047,1,16,1999,DM,M,37,46
29048,1,16,1999,DM,M,38,41
29049,1,16,1999,DM,M,36,39
29061,1,16,1999,DM,F,33,40
29063,1,16,1999,DM,M,35,46
29064,1,16,1999,DM,F,36,46
29065,1,16,1999,DM,F,36,46
29066,1,16,1999,DM,F,36,39
29067,1,16,1999,DM,M,36,41
29068,1,16,1999,DM,M,35,44
29069,1,16,1999,DM,M,35,36
29070,1,16,1999,DM,F,35,42
29072,1,16,1999,DM,M,35,40
29073,1,16,1999,DM,M,37,48
29077,1,16,1999,DM,F,33,46
29098,1,17,1999,DM,F,36,45
29099,1,17,1999,DM,M,36,50
29100,1,17,1999,DM,M,35,37
29101,1,17,1999,DM,F,36,42
29102,1,17,1999,DM,M,37,45
29104,1,17,1999,DM,M,35,40
29105,1,17,1999,DM,F,35,41
29106,1,17,1999,DM,F,36,43
29107,1,17,1999,DM,M,36,48
29117,1,17,1999,DM,M,36,42
29118,1,17,1999,DM,F,35,41
29120,1,17,1999,DM,M,36,43
29121,1,17,1999,DM,M,36,41
29122,1,17,1999,DM,M,37,45
29123,1,17,1999,DM,M,37,52
29124,1,17,1999,DM,M,35,41
29125,1,17,1999,DM,M,35,53
29127,1,17,1999,DM,M,33,43
29129,1,17,1999,DM,F,34,40
29130,1,17,1999,DM,M,37,40
29132,1,17,1999,DM,F,36,43
29134,1,17,1999,DM,M,35,40
29138,1,17,1999,DM,F,37,49
29139,1,17,1999,DM,F,37,44
29143,1,17,1999,DM,F,36,41
29144,1,17,1999,DM,F,35,44
29149,1,17,1999,DM,M,38,58
29150,1,17,1999,DM,F,34,49
29151,1,17,1999,DM,F,35,48
29152,1,17,1999,DM,M,36,40
29153,1,17,1999,DM,M,37,46
29157,2,20,1999,DM,F,33,41
29158,2,20,1999,DM,F,37,38
29159,2,20,1999,DM,F,33,44
29160,2,20,1999,DM,M,36,47
29163,2,20,1999,DM,F,37,46
29165,2,20,1999,DM,M,35,51
29168,2,20,1999,DM,M,37,50
29175,2,20,1999,DM,F,36,52
29176,2,20,1999,DM,M,37,47
29178,2,20,1999,DM,F,35,45
29179,2,20,1999,DM,M,35,46
29181,2,20,1999,DM,F,36,42
29182,2,20,1999,DM,M,37,53
29183,2,20,1999,DM,M,38,46
29184,2,20,1999,DM,M,36,42
29186,2,20,1999,DM,F,35,41
29193,2,20,1999,DM,M,21,25
29202,2,20,1999,DM,M,37,47
29204,2,20,1999,DM,F,35,39
29205,2,20,1999,DM,F,34,41
29208,2,20,1999,DM,M,36,39
29209,2,20,1999,DM,F,36,47
29211,2,20,1999,DM,M,38,44
29217,2,20,1999,DM,M,34,45
29219,2,20,1999,DM,M,36,50
29221,2,20,1999,DM,M,36,47
29223,2,20,1999,DM,F,34,46
29225,2,20,1999,DM,F,36,45
29226,2,20,1999,DM,M,37,50
29228,2,20,1999,DM,M,35,39
29239,2,21,1999,DM,M,37,48
29240,2,21,1999,DM,M,35,50
29242,2,21,1999,DM,F,35,39
29243,2,21,1999,DM,F,36,46
29244,2,21,1999,DM,M,37,45
29245,2,21,1999,DM,M,36,42
29246,2,21,1999,DM,M,35,45
29247,2,21,1999,DM,M,35,38
29248,2,21,1999,DM,M,39,49
29249,2,21,1999,DM,F,36,42
29250,2,21,1999,DM,F,35,42
29252,2,21,1999,DM,F,37,46
29254,2,21,1999,DM,M,33,33
29259,2,21,1999,DM,M,37,40
29260,2,21,1999,DM,F,34,47
29262,2,21,1999,DM,M,37,48
29263,2,21,1999,DM,F,38,45
29264,2,21,1999,DM,M,36,42
29266,2,21,1999,DM,F,35,47
29267,2,21,1999,DM,M,36,49
29268,2,21,1999,DM,M,38,53
29270,2,21,1999,DM,M,36,42
29272,2,21,1999,DM,F,35,40
29274,2,21,1999,DM,F,35,51
29281,2,21,1999,DM,F,37,42
29282,2,21,1999,DM,M,36,54
29284,2,21,1999,DM,M,36,49
29285,2,21,1999,DM,M,37,49
29286,2,21,1999,DM,F,37,44
29287,2,21,1999,DM,M,37,53
29288,2,21,1999,DM,F,37,46
29290,2,21,1999,DM,F,36,48
29291,2,21,1999,DM,M,38,56
29293,2,21,1999,DM,M,37,47
29302,3,14,1999,DM,F,36,46
